id,abilities,name,weight,ThumbnailAltText,weakness,number,height,collectibles_slug,featured,ThumbnailImage,threat_type,slug
1,Overgrow,Bulbasaur,15.2,Bulbasaur,Fire Flying Ice Psychic,1,28,bulbasaur,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/001.png,grass poison,bulbasaur
2,Overgrow,Ivysaur,28.7,Ivysaur,Fire Flying Ice Psychic,2,39,ivysaur,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/002.png,grass poison,ivysaur
3,Thick Fat,Venusaur,342.8,Venusaur,Fire Psychic Flying Ice,3,94,venusaur,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/003.png,grass poison,venusaur
4,Overgrow,Venusaur,220.5,Venusaur,Fire Flying Ice Psychic,3,79,venusaur,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/003.png,grass poison,venusaur
5,Blaze,Charmander,18.7,Charmander,Ground Rock Water,4,24,charmander,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/004.png,fire,charmander
6,Blaze,Charmeleon,41.9,Charmeleon,Ground Rock Water,5,43,charmeleon,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/005.png,fire,charmeleon
7,Drought,Charizard,221.6,Charizard,Water Rock Electric,6,67,charizard,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/006.png,fire flying,charizard
8,Tough Claws,Charizard,243.6,Charizard,Dragon Rock Ground,6,67,charizard,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/006.png,fire dragon,charizard
9,Blaze,Charizard,199.5,Charizard,Rock Electric Water,6,67,charizard,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/006.png,fire flying,charizard
10,Torrent,Squirtle,19.8,Squirtle,Electric Grass,7,20,squirtle,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/007.png,water,squirtle
11,Torrent,Wartortle,49.6,Wartortle,Electric Grass,8,39,wartortle,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/008.png,water,wartortle
12,Mega Launcher,Blastoise,222.9,Blastoise,Grass Electric,9,63,blastoise,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/009.png,water,blastoise
13,Torrent,Blastoise,188.5,Blastoise,Electric Grass,9,63,blastoise,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/009.png,water,blastoise
14,Shield Dust,Caterpie,6.4,Caterpie,Fire Flying Rock,10,12,caterpie,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/010.png,bug,caterpie
15,Shed Skin,Metapod,21.8,Metapod,Fire Flying Rock,11,28,metapod,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/011.png,bug,metapod
16,Compound Eyes,Butterfree,70.5,Butterfree,Rock Electric Fire Flying Ice,12,43,butterfree,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/012.png,bug flying,butterfree
